B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
19188,"Adjuntas, PR Micro Area",31000US10260,10260
331146,"Aguadilla-Isabela, PR Metro Area",31000US10380,10380
195749,"Arecibo, PR Metro Area",31000US11640,11640
40496,"Coamo, PR Micro Area",31000US17620,17620
30506,"Coco, PR Micro Area",31000US17640,17640
82282,"Guayama, PR Metro Area",31000US25020,25020
16183,"Jayuya, PR Micro Area",31000US27580,27580
102448,"Mayagüez, PR Metro Area",31000US32420,32420
337919,"Ponce, PR Metro Area",31000US38660,38660
135240,"San Germán, PR Metro Area",31000US41900,41900
2297987,"San Juan-Carolina-Caguas, PR Metro Area",31000US41980,41980
23114,"Santa Isabel, PR Micro Area",31000US42180,42180
41564,"Aberdeen, SD Micro Area",31000US10100,10100
71734,"Aberdeen, WA Micro Area",31000US10140,10140
167171,"Abilene, TX Metro Area",31000US10180,10180
37873,"Ada, OK Micro Area",31000US10220,10220
99257,"Adrian, MI Micro Area",31000US10300,10300
703017,"Akron, OH Metro Area",31000US10420,10420
65415,"Alamogordo, NM Micro Area",31000US10460,10460
156706,"Albany, GA Metro Area",31000US10500,10500
118270,"Albany, OR Metro Area",31000US10540,10540
875567,"Albany-Schenectady-Troy, NY Metro Area",31000US10580,10580
60553,"Albemarle, NC Micro Area",31000US10620,10620
31034,"Albert Lea, MN Micro Area",31000US10660,10660
94121,"Albertville, AL Micro Area",31000US10700,10700
899137,"Albuquerque, NM Metro Area",31000US10740,10740
154562,"Alexandria, LA Metro Area",31000US10780,10780
36413,"Alexandria, MN Micro Area",31000US10820,10820
41348,"Alice, TX Micro Area",31000US10860,10860
826260,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31000US10900,10900
42057,"Alma, MI Micro Area",31000US10940,10940
29242,"Alpena, MI Micro Area",31000US10980,10980
126708,"Altoona, PA Metro Area",31000US11020,11020
26275,"Altus, OK Micro Area",31000US11060,11060
257038,"Amarillo, TX Metro Area",31000US11100,11100
36858,"Americus, GA Micro Area",31000US11140,11140
91939,"Ames, IA Metro Area",31000US11180,11180
49951,"Amsterdam, NY Micro Area",31000US11220,11220
392021,"Anchorage, AK Metro Area",31000US11260,11260
16126,"Andrews, TX Micro Area",31000US11380,11380
34190,"Angola, IN Micro Area",31000US11420,11420
351454,"Ann Arbor, MI Metro Area",31000US11460,11460
117186,"Anniston-Oxford-Jacksonville, AL Metro Area",31000US11500,11500
228641,"Appleton, WI Metro Area",31000US11540,11540
34785,"Arcadia, FL Micro Area",31000US11580,11580
48288,"Ardmore, OK Micro Area",31000US11620,11620
22800,"Arkadelphia, AR Micro Area",31000US11660,11660
36201,"Arkansas City-Winfield, KS Micro Area",31000US11680,11680
433204,"Asheville, NC Metro Area",31000US11700,11700
53202,"Ashland, OH Micro Area",31000US11740,11740
100346,"Ashtabula, OH Micro Area",31000US11780,11780
37236,"Astoria, OR Micro Area",31000US11820,11820
16737,"Atchison, KS Micro Area",31000US11860,11860
64840,"Athens, OH Micro Area",31000US11900,11900
52409,"Athens, TN Micro Area",31000US11940,11940
78836,"Athens, TX Micro Area",31000US11980,11980
196287,"Athens-Clarke County, GA Metro Area",31000US12020,12020
5455053,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31000US12060,12060
275325,"Atlantic City-Hammonton, NJ Metro Area",31000US12100,12100
42321,"Auburn, IN Micro Area",31000US12140,12140
79481,"Auburn, NY Micro Area",31000US12180,12180
147790,"Auburn-Opelika, AL Metro Area",31000US12220,12220
575669,"Augusta-Richmond County, GA-SC Metro Area",31000US12260,12260
121507,"Augusta-Waterville, ME Micro Area",31000US12300,12300
39312,"Austin, MN Micro Area",31000US12380,12380
1835016,"Austin-Round Rock, TX Metro Area",31000US12420,12420
27508,"Bainbridge, GA Micro Area",31000US12460,12460
857730,"Bakersfield, CA Metro Area",31000US12540,12540
2753396,"Baltimore-Columbia-Towson, MD Metro Area",31000US12580,12580
153627,"Bangor, ME Metro Area",31000US12620,12620
62681,"Baraboo, WI Micro Area",31000US12660,12660
44254,"Bardstown, KY Micro Area",31000US12680,12680
215167,"Barnstable Town, MA Metro Area",31000US12700,12700
59333,"Barre, VT Micro Area",31000US12740,12740
51564,"Bartlesville, OK Micro Area",31000US12780,12780
