B01003_001E,NAME,GEOID,state,place
43,"Abanda CDP, Alabama",16000US0100100,01,00100
2654,"Abbeville city, Alabama",16000US0100124,01,00124
4472,"Adamsville city, Alabama",16000US0100460,01,00460
913,"Addison town, Alabama",16000US0100484,01,00484
302,"Akron town, Alabama",16000US0100676,01,00676
30978,"Alabaster city, Alabama",16000US0100820,01,00820
21363,"Albertville city, Alabama",16000US0100988,01,00988
14815,"Alexander City city, Alabama",16000US0101132,01,01132
3947,"Alexandria CDP, Alabama",16000US0101180,01,01180
3892,"Aliceville city, Alabama",16000US0101228,01,01228
607,"Allgood town, Alabama",16000US0101396,01,01396
764,"Altoona town, Alabama",16000US0101660,01,01660
9048,"Andalusia city, Alabama",16000US0101708,01,01708
322,"Anderson town, Alabama",16000US0101756,01,01756
22749,"Anniston city, Alabama",16000US0101852,01,01852
8241,"Arab city, Alabama",16000US0102116,01,02116
1511,"Ardmore town, Alabama",16000US0102260,01,02260
4127,"Argo town, Alabama",16000US0102320,01,02320
720,"Ariton town, Alabama",16000US0102428,01,02428
453,"Arley town, Alabama",16000US0102500,01,02500
2273,"Ashford town, Alabama",16000US0102836,01,02836
2494,"Ashland town, Alabama",16000US0102860,01,02860
2225,"Ashville city, Alabama",16000US0102908,01,02908
23335,"Athens city, Alabama",16000US0102956,01,02956
10096,"Atmore city, Alabama",16000US0103004,01,03004
5995,"Attalla city, Alabama",16000US0103028,01,03028
56986,"Auburn city, Alabama",16000US0103076,01,03076
1101,"Autaugaville town, Alabama",16000US0103220,01,03220
579,"Avon town, Alabama",16000US0103364,01,03364
1020,"Axis CDP, Alabama",16000US0103508,01,03508
649,"Babbie town, Alabama",16000US0103556,01,03556
742,"Baileyton town, Alabama",16000US0103676,01,03676
276,"Bakerhill town, Alabama",16000US0103724,01,03724
1444,"Ballplay CDP, Alabama",16000US0103820,01,03820
184,"Banks town, Alabama",16000US0103940,01,03940
8682,"Bay Minette city, Alabama",16000US0104660,01,04660
2661,"Bayou La Batre city, Alabama",16000US0104684,01,04684
1510,"Bear Creek town, Alabama",16000US0104852,01,04852
268,"Beatrice town, Alabama",16000US0104900,01,04900
235,"Beaverton town, Alabama",16000US0104948,01,04948
94,"Belgreen CDP, Alabama",16000US0105140,01,05140
282,"Belk town, Alabama",16000US0105164,01,05164
689,"Bellamy CDP, Alabama",16000US0105188,01,05188
557,"Belle Fontaine CDP, Alabama",16000US0105212,01,05212
42,"Benton town, Alabama",16000US0105692,01,05692
1239,"Berry town, Alabama",16000US0105932,01,05932
27202,"Bessemer city, Alabama",16000US0105980,01,05980
162,"Billingsley town, Alabama",16000US0106460,01,06460
211705,"Birmingham city, Alabama",16000US0107000,01,07000
146,"Black town, Alabama",16000US0107120,01,07120
1848,"Blountsville town, Alabama",16000US0107456,01,07456
1531,"Blue Ridge CDP, Alabama",16000US0107588,01,07588
93,"Blue Springs town, Alabama",16000US0107672,01,07672
9781,"Boaz city, Alabama",16000US0107912,01,07912
609,"Boligee town, Alabama",16000US0108104,01,08104
117,"Bon Air town, Alabama",16000US0108248,01,08248
104,"Boykin CDP, Alabama",16000US0108680,01,08680
1016,"Brantley town, Alabama",16000US0109016,01,09016
941,"Brantleyville CDP, Alabama",16000US0109064,01,09064
4911,"Brent city, Alabama",16000US0109136,01,09136
5426,"Brewton city, Alabama",16000US0109208,01,09208
2416,"Bridgeport city, Alabama",16000US0109328,01,09328
2918,"Brighton city, Alabama",16000US0109400,01,09400
1053,"Brilliant town, Alabama",16000US0109424,01,09424
336,"Bristow Cove CDP, Alabama",16000US0109457,01,09457
7281,"Brook Highland CDP, Alabama",16000US0109500,01,09500
1112,"Brookside town, Alabama",16000US0109736,01,09736
1918,"Brookwood town, Alabama",16000US0109808,01,09808
104,"Broomtown CDP, Alabama",16000US0109880,01,09880
2007,"Brundidge city, Alabama",16000US0110240,01,10240
45,"Bucks CDP, Alabama",16000US0110456,01,10456
2280,"Butler town, Alabama",16000US0111032,01,11032
12376,"Calera city, Alabama",16000US0111416,01,11416
154,"Calvert CDP, Alabama",16000US0111488,01,11488
2770,"Camden city, Alabama",16000US0111512,01,11512
895,"Camp Hill town, Alabama",16000US0111680,01,11680
2030,"Carbon Hill city, Alabama",16000US0112016,01,12016
21,"Cardiff town, Alabama",16000US0112040,01,12040
2745,"Carlisle-Rockledge CDP, Alabama",16000US0112070,01,12070
173,"Carlton CDP, Alabama",16000US0112112,01,12112
299,"Carolina town, Alabama",16000US0112160,01,12160
1138,"Carrollton town, Alabama",16000US0112304,01,12304
565,"Castleberry town, Alabama",16000US0112496,01,12496
23,"Catherine CDP, Alabama",16000US0112544,01,12544
1872,"Cedar Bluff town, Alabama",16000US0112760,01,12760
16876,"Center Point city, Alabama",16000US0113264,01,13264
3555,"Centre city, Alabama",16000US0113648,01,13648
2727,"Centreville city, Alabama",16000US0113672,01,13672
1063,"Chatom town, Alabama",16000US0114008,01,14008
11051,"Chelsea city, Alabama",16000US0114104,01,14104
1000,"Cherokee town, Alabama",16000US0114152,01,14152
6026,"Chickasaw city, Alabama",16000US0114392,01,14392
5117,"Childersburg city, Alabama",16000US0114464,01,14464
2443,"Choccolocco CDP, Alabama",16000US0114728,01,14728
153,"Chunchula CDP, Alabama",16000US0114968,01,14968
3892,"Citronelle city, Alabama",16000US0115064,01,15064
8672,"Clanton city, Alabama",16000US0115136,01,15136
9699,"Clay city, Alabama",16000US0115256,01,15256
539,"Clayhatchee town, Alabama",16000US0115304,01,15304
2971,"Clayton town, Alabama",16000US0115376,01,15376
1340,"Cleveland town, Alabama",16000US0115472,01,15472
1575,"Clio city, Alabama",16000US0115640,01,15640
1778,"Coaling town, Alabama",16000US0116000,01,16000
1908,"Coats Bend CDP, Alabama",16000US0116080,01,16080
207,"Coffee Springs town, Alabama",16000US0116240,01,16240
374,"Coffeeville town, Alabama",16000US0116264,01,16264
1094,"Coker town, Alabama",16000US0116312,01,16312
1991,"Collinsville town, Alabama",16000US0116600,01,16600
265,"Colony town, Alabama",16000US0116684,01,16684
780,"Columbia town, Alabama",16000US0116744,01,16744
4198,"Columbiana city, Alabama",16000US0116768,01,16768
1724,"Concord CDP, Alabama",16000US0116936,01,16936
1193,"Coosada town, Alabama",16000US0117176,01,17176
1944,"Cordova city, Alabama",16000US0117368,01,17368
3480,"Cottondale CDP, Alabama",16000US0117704,01,17704
1296,"Cottonwood town, Alabama",16000US0117824,01,17824
276,"County Line town, Alabama",16000US0117968,01,17968
540,"Courtland town, Alabama",16000US0118040,01,18040
1897,"Cowarts town, Alabama",16000US0118088,01,18088
1898,"Creola city, Alabama",16000US0118304,01,18304
2201,"Crossville town, Alabama",16000US0118856,01,18856
344,"Cuba town, Alabama",16000US0118952,01,18952
14933,"Cullman city, Alabama",16000US0118976,01,18976
93,"Cullomburg CDP, Alabama",16000US0119024,01,19024
133,"Cusseta town, Alabama",16000US0119216,01,19216
3203,"Dadeville city, Alabama",16000US0119336,01,19336
5233,"Daleville city, Alabama",16000US0119360,01,19360
22983,"Daphne city, Alabama",16000US0119648,01,19648
1291,"Dauphin Island town, Alabama",16000US0119744,01,19744
287,"Daviston town, Alabama",16000US0119816,01,19816
41,"Dayton town, Alabama",16000US0119912,01,19912
1098,"Deatsville town, Alabama",16000US0120008,01,20008
55641,"Decatur city, Alabama",16000US0120104,01,20104
214,"Deer Park CDP, Alabama",16000US0120152,01,20152
149,"Delta CDP, Alabama",16000US0120272,01,20272
7323,"Demopolis city, Alabama",16000US0120296,01,20296
226,"Detroit town, Alabama",16000US0120392,01,20392
805,"Dodge City town, Alabama",16000US0120955,01,20955
2253,"Dora city, Alabama",16000US0121136,01,21136
67574,"Dothan city, Alabama",16000US0121184,01,21184
1388,"Double Springs town, Alabama",16000US0121280,01,21280
990,"Douglas town, Alabama",16000US0121328,01,21328
322,"Dozier town, Alabama",16000US0121448,01,21448
831,"Dunnavant CDP, Alabama",16000US0121890,01,21890
251,"Dutton town, Alabama",16000US0121952,01,21952
2552,"East Brewton city, Alabama",16000US0122216,01,22216
166,"East Point CDP, Alabama",16000US0122504,01,22504
830,"Eclectic town, Alabama",16000US0122816,01,22816
804,"Edgewater CDP, Alabama",16000US0123032,01,23032
202,"Edwardsville town, Alabama",16000US0123176,01,23176
1153,"Egypt CDP, Alabama",16000US0123224,01,23224
3935,"Elba city, Alabama",16000US0123296,01,23296
1470,"Elberta town, Alabama",16000US0123320,01,23320
166,"Eldridge town, Alabama",16000US0123344,01,23344
459,"Elkmont town, Alabama",16000US0123488,01,23488
1738,"Elmore town, Alabama",16000US0123656,01,23656
31,"Emelle town, Alabama",16000US0123872,01,23872
2316,"Emerald Mountain CDP, Alabama",16000US0123880,01,23880
27375,"Enterprise city, Alabama",16000US0124184,01,24184
108,"Epes town, Alabama",16000US0124256,01,24256
