B01003_001E,NAME,GEOID,state
4817678,Alabama,04000US01,01
728300,Alaska,04000US02,02
6561516,Arizona,04000US04,04
2947036,Arkansas,04000US05,05
38066920,California,04000US06,06
5197580,Colorado,04000US08,08
3592053,Connecticut,04000US09,09
917060,Delaware,04000US10,10
633736,District of Columbia,04000US11,11
19361792,Florida,04000US12,12
9907756,Georgia,04000US13,13
1392704,Hawaii,04000US15,15
1599464,Idaho,04000US16,16
12868747,Illinois,04000US17,17
6542411,Indiana,04000US18,18
3078116,Iowa,04000US19,19
2882946,Kansas,04000US20,20
4383272,Kentucky,04000US21,21
4601049,Louisiana,04000US22,22
1328535,Maine,04000US23,23
5887776,Maryland,04000US24,24
6657291,Massachusetts,04000US25,25
9889024,Michigan,04000US26,26
5383661,Minnesota,04000US27,27
2984345,Mississippi,04000US28,28
6028076,Missouri,04000US29,29
1006370,Montana,04000US30,30
1855617,Nebraska,04000US31,31
2761584,Nevada,04000US32,32
1321069,New Hampshire,04000US33,33
8874374,New Jersey,04000US34,34
2080085,New Mexico,04000US35,35
19594330,New York,04000US36,36
9750405,North Carolina,04000US37,37
704925,North Dakota,04000US38,38
11560380,Ohio,04000US39,39
3818851,Oklahoma,04000US40,40
3900343,Oregon,04000US41,41
12758729,Pennsylvania,04000US42,42
1053252,Rhode Island,04000US44,44
4727273,South Carolina,04000US45,45
834708,South Dakota,04000US46,46
6451365,Tennessee,04000US47,47
26092033,Texas,04000US48,48
2858111,Utah,04000US49,49
626358,Vermont,04000US50,50
8185131,Virginia,04000US51,51
6899123,Washington,04000US53,53
1853881,West Virginia,04000US54,54
5724692,Wisconsin,04000US55,55
575251,Wyoming,04000US56,56
3638965,Puerto Rico,04000US72,72
