B01003_001E,NAME,GEOID,zip code tabulation area
18088,ZCTA5 00601,86000US00601,00601
40859,ZCTA5 00602,86000US00602,00602
53162,ZCTA5 00603,86000US00603,00603
6415,ZCTA5 00606,86000US00606,00606
28805,ZCTA5 00610,86000US00610,00610
66251,ZCTA5 00612,86000US00612,00612
10466,ZCTA5 00616,86000US00616,00616
24917,ZCTA5 00617,86000US00617,00617
6589,ZCTA5 00622,86000US00622,00622
44117,ZCTA5 00623,86000US00623,00623
24902,ZCTA5 00624,86000US00624,00624
34438,ZCTA5 00627,86000US00627,00627
1847,ZCTA5 00631,86000US00631,00631
24799,ZCTA5 00637,86000US00637,00637
18365,ZCTA5 00638,86000US00638,00638
30183,ZCTA5 00641,86000US00641,00641
38305,ZCTA5 00646,86000US00646,00646
5245,ZCTA5 00647,86000US00647,00647
14679,ZCTA5 00650,86000US00650,00650
3831,ZCTA5 00652,86000US00652,00652
13427,ZCTA5 00653,86000US00653,00653
20839,ZCTA5 00656,86000US00656,00656
41830,ZCTA5 00659,86000US00659,00659
17023,ZCTA5 00660,86000US00660,00660
43101,ZCTA5 00662,86000US00662,00662
16298,ZCTA5 00664,86000US00664,00664
25510,ZCTA5 00667,86000US00667,00667
28442,ZCTA5 00669,86000US00669,00669
9478,ZCTA5 00670,86000US00670,00670
43240,ZCTA5 00674,86000US00674,00674
39513,ZCTA5 00676,86000US00676,00676
15012,ZCTA5 00677,86000US00677,00677
27045,ZCTA5 00678,86000US00678,00678
54824,ZCTA5 00680,86000US00680,00680
31908,ZCTA5 00682,86000US00682,00682
33050,ZCTA5 00683,86000US00683,00683
41403,ZCTA5 00685,86000US00685,00685
32484,ZCTA5 00687,86000US00687,00687
13251,ZCTA5 00688,86000US00688,00688
5906,ZCTA5 00690,86000US00690,00690
37329,ZCTA5 00692,86000US00692,00692
59513,ZCTA5 00693,86000US00693,00693
134,ZCTA5 00694,86000US00694,00694
40276,ZCTA5 00698,86000US00698,00698
28739,ZCTA5 00703,86000US00703,00703
8100,ZCTA5 00704,86000US00704,00704
25090,ZCTA5 00705,86000US00705,00705
11904,ZCTA5 00707,86000US00707,00707
19229,ZCTA5 00714,86000US00714,00714
3714,ZCTA5 00715,86000US00715,00715
31362,ZCTA5 00716,86000US00716,00716
18176,ZCTA5 00717,86000US00717,00717
26786,ZCTA5 00718,86000US00718,00718
30772,ZCTA5 00719,86000US00719,00719
22862,ZCTA5 00720,86000US00720,00720
18766,ZCTA5 00723,86000US00723,00723
88152,ZCTA5 00725,86000US00725,00725
57036,ZCTA5 00727,86000US00727,00727
42333,ZCTA5 00728,86000US00728,00728
54198,ZCTA5 00729,86000US00729,00729
36201,ZCTA5 00730,86000US00730,00730
14320,ZCTA5 00731,86000US00731,00731
13203,ZCTA5 00735,86000US00735,00735
51116,ZCTA5 00736,86000US00736,00736
33835,ZCTA5 00738,86000US00738,00738
38424,ZCTA5 00739,86000US00739,00739
1704,ZCTA5 00740,86000US00740,00740
5365,ZCTA5 00741,86000US00741,00741
54253,ZCTA5 00745,86000US00745,00745
23020,ZCTA5 00751,86000US00751,00751
40022,ZCTA5 00754,86000US00754,00754
23114,ZCTA5 00757,86000US00757,00757
9139,ZCTA5 00765,86000US00765,00765
25549,ZCTA5 00766,86000US00766,00766
36962,ZCTA5 00767,86000US00767,00767
39871,ZCTA5 00769,86000US00769,00769
38435,ZCTA5 00771,86000US00771,00771
21682,ZCTA5 00772,86000US00772,00772
19731,ZCTA5 00773,86000US00773,00773
1585,ZCTA5 00775,86000US00775,00775
40863,ZCTA5 00777,86000US00777,00777
46569,ZCTA5 00778,86000US00778,00778
13678,ZCTA5 00780,86000US00780,00780
18595,ZCTA5 00782,86000US00782,00782
35856,ZCTA5 00783,86000US00783,00783
43251,ZCTA5 00784,86000US00784,00784
327,ZCTA5 00786,86000US00786,00786
51757,ZCTA5 00791,86000US00791,00791
30462,ZCTA5 00794,86000US00794,00794
47106,ZCTA5 00795,86000US00795,00795
6428,ZCTA5 00901,86000US00901,00901
43,ZCTA5 00906,86000US00906,00906
17910,ZCTA5 00907,86000US00907,00907
6071,ZCTA5 00909,86000US00909,00909
7425,ZCTA5 00911,86000US00911,00911
6414,ZCTA5 00912,86000US00912,00912
8179,ZCTA5 00913,86000US00913,00913
30642,ZCTA5 00915,86000US00915,00915
19723,ZCTA5 00917,86000US00917,00917
16553,ZCTA5 00918,86000US00918,00918
18729,ZCTA5 00920,86000US00920,00920
38499,ZCTA5 00921,86000US00921,00921
27853,ZCTA5 00923,86000US00923,00923
56236,ZCTA5 00924,86000US00924,00924
7120,ZCTA5 00925,86000US00925,00925
105093,ZCTA5 00926,86000US00926,00926
14764,ZCTA5 00927,86000US00927,00927
188,ZCTA5 00934,86000US00934,00934
877,ZCTA5 00936,86000US00936,00936
80406,ZCTA5 00949,86000US00949,00949
0,ZCTA5 00950,86000US00950,00950
15,ZCTA5 00951,86000US00951,00951
9338,ZCTA5 00952,86000US00952,00952
73537,ZCTA5 00953,86000US00953,00953
75830,ZCTA5 00956,86000US00956,00956
44639,ZCTA5 00957,86000US00957,00957
48699,ZCTA5 00959,86000US00959,00959
2037,ZCTA5 00960,86000US00960,00960
31774,ZCTA5 00961,86000US00961,00961
21204,ZCTA5 00962,86000US00962,00962
8978,ZCTA5 00965,86000US00965,00965
15785,ZCTA5 00966,86000US00966,00966
3594,ZCTA5 00968,86000US00968,00968
42316,ZCTA5 00969,86000US00969,00969
30349,ZCTA5 00971,86000US00971,00971
61862,ZCTA5 00976,86000US00976,00976
16157,ZCTA5 00979,86000US00979,00979
15132,ZCTA5 00982,86000US00982,00982
40273,ZCTA5 00983,86000US00983,00983
35236,ZCTA5 00985,86000US00985,00985
60544,ZCTA5 00987,86000US00987,00987
17141,ZCTA5 01001,86000US01001,01001
29844,ZCTA5 01002,86000US01002,01002
11062,ZCTA5 01003,86000US01003,01003
5113,ZCTA5 01005,86000US01005,01005
14774,ZCTA5 01007,86000US01007,01007
1212,ZCTA5 01008,86000US01008,01008
546,ZCTA5 01009,86000US01009,01009
3667,ZCTA5 01010,86000US01010,01010
1478,ZCTA5 01011,86000US01011,01011
499,ZCTA5 01012,86000US01012,01012
22299,ZCTA5 01013,86000US01013,01013
30593,ZCTA5 01020,86000US01020,01020
2711,ZCTA5 01022,86000US01022,01022
1009,ZCTA5 01026,86000US01026,01026
17652,ZCTA5 01027,86000US01027,01027
15917,ZCTA5 01028,86000US01028,01028
701,ZCTA5 01029,86000US01029,01029
11485,ZCTA5 01030,86000US01030,01030
1389,ZCTA5 01031,86000US01031,01031
585,ZCTA5 01032,86000US01032,01032
6214,ZCTA5 01033,86000US01033,01033
2061,ZCTA5 01034,86000US01034,01034
5285,ZCTA5 01035,86000US01035,01035
5141,ZCTA5 01036,86000US01036,01036
721,ZCTA5 01037,86000US01037,01037
2837,ZCTA5 01038,86000US01038,01038
1354,ZCTA5 01039,86000US01039,01039
40079,ZCTA5 01040,86000US01040,01040
2512,ZCTA5 01050,86000US01050,01050
1847,ZCTA5 01053,86000US01053,01053
1836,ZCTA5 01054,86000US01054,01054
21288,ZCTA5 01056,86000US01056,01056
8645,ZCTA5 01057,86000US01057,01057
15348,ZCTA5 01060,86000US01060,01060
10830,ZCTA5 01062,86000US01062,01062
