B01003_001E,NAME,GEOID,state,congressional district
733375,"Congressional District (at Large) (114th Congress), Alaska",50000US0200,02,00
695961,"Congressional District 1 (114th Congress), Alabama",50000US0101,01,01
684660,"Congressional District 2 (114th Congress), Alabama",50000US0102,01,02
697296,"Congressional District 3 (114th Congress), Alabama",50000US0103,01,03
682859,"Congressional District 4 (114th Congress), Alabama",50000US0104,01,04
700501,"Congressional District 5 (114th Congress), Alabama",50000US0105,01,05
692738,"Congressional District 6 (114th Congress), Alabama",50000US0106,01,06
676605,"Congressional District 7 (114th Congress), Alabama",50000US0107,01,07
726282,"Congressional District 1 (114th Congress), Arkansas",50000US0501,05,01
750711,"Congressional District 2 (114th Congress), Arkansas",50000US0502,05,02
761175,"Congressional District 3 (114th Congress), Arkansas",50000US0503,05,03
720040,"Congressional District 4 (114th Congress), Arkansas",50000US0504,05,04
727454,"Congressional District 1 (114th Congress), Arizona",50000US0401,04,01
719851,"Congressional District 2 (114th Congress), Arizona",50000US0402,04,02
732596,"Congressional District 3 (114th Congress), Arizona",50000US0403,04,03
730220,"Congressional District 4 (114th Congress), Arizona",50000US0404,04,04
761257,"Congressional District 5 (114th Congress), Arizona",50000US0405,04,05
739321,"Congressional District 6 (114th Congress), Arizona",50000US0406,04,06
744743,"Congressional District 7 (114th Congress), Arizona",50000US0407,04,07
744439,"Congressional District 8 (114th Congress), Arizona",50000US0408,04,08
742047,"Congressional District 9 (114th Congress), Arizona",50000US0409,04,09
704448,"Congressional District 1 (114th Congress), California",50000US0601,06,01
712526,"Congressional District 2 (114th Congress), California",50000US0602,06,02
716206,"Congressional District 3 (114th Congress), California",50000US0603,06,03
712747,"Congressional District 4 (114th Congress), California",50000US0604,06,04
720557,"Congressional District 5 (114th Congress), California",50000US0605,06,05
725594,"Congressional District 6 (114th Congress), California",50000US0606,06,06
729192,"Congressional District 7 (114th Congress), California",50000US0607,06,07
712224,"Congressional District 8 (114th Congress), California",50000US0608,06,08
730863,"Congressional District 9 (114th Congress), California",50000US0609,06,09
723880,"Congressional District 10 (114th Congress), California",50000US0610,06,10
732078,"Congressional District 11 (114th Congress), California",50000US0611,06,11
731379,"Congressional District 12 (114th Congress), California",50000US0612,06,12
733401,"Congressional District 13 (114th Congress), California",50000US0613,06,13
736622,"Congressional District 14 (114th Congress), California",50000US0614,06,14
741528,"Congressional District 15 (114th Congress), California",50000US0615,06,15
717984,"Congressional District 16 (114th Congress), California",50000US0616,06,16
740121,"Congressional District 17 (114th Congress), California",50000US0617,06,17
728724,"Congressional District 18 (114th Congress), California",50000US0618,06,18
738243,"Congressional District 19 (114th Congress), California",50000US0619,06,19
725254,"Congressional District 20 (114th Congress), California",50000US0620,06,20
711866,"Congressional District 21 (114th Congress), California",50000US0621,06,21
734495,"Congressional District 22 (114th Congress), California",50000US0622,06,22
723632,"Congressional District 23 (114th Congress), California",50000US0623,06,23
722051,"Congressional District 24 (114th Congress), California",50000US0624,06,24
718475,"Congressional District 25 (114th Congress), California",50000US0625,06,25
717882,"Congressional District 26 (114th Congress), California",50000US0626,06,26
716789,"Congressional District 27 (114th Congress), California",50000US0627,06,27
716256,"Congressional District 28 (114th Congress), California",50000US0628,06,28
714303,"Congressional District 29 (114th Congress), California",50000US0629,06,29
745240,"Congressional District 30 (114th Congress), California",50000US0630,06,30
729036,"Congressional District 31 (114th Congress), California",50000US0631,06,31
718864,"Congressional District 32 (114th Congress), California",50000US0632,06,32
715480,"Congressional District 33 (114th Congress), California",50000US0633,06,33
714351,"Congressional District 34 (114th Congress), California",50000US0634,06,34
727007,"Congressional District 35 (114th Congress), California",50000US0635,06,35
733025,"Congressional District 36 (114th Congress), California",50000US0636,06,36
719856,"Congressional District 37 (114th Congress), California",50000US0637,06,37
717038,"Congressional District 38 (114th Congress), California",50000US0638,06,38
722109,"Congressional District 39 (114th Congress), California",50000US0639,06,39
709734,"Congressional District 40 (114th Congress), California",50000US0640,06,40
729223,"Congressional District 41 (114th Congress), California",50000US0641,06,41
749374,"Congressional District 42 (114th Congress), California",50000US0642,06,42
718044,"Congressional District 43 (114th Congress), California",50000US0643,06,43
719482,"Congressional District 44 (114th Congress), California",50000US0644,06,44
740844,"Congressional District 45 (114th Congress), California",50000US0645,06,45
721847,"Congressional District 46 (114th Congress), California",50000US0646,06,46
719582,"Congressional District 47 (114th Congress), California",50000US0647,06,47
722403,"Congressional District 48 (114th Congress), California",50000US0648,06,48
724280,"Congressional District 49 (114th Congress), California",50000US0649,06,49
730427,"Congressional District 50 (114th Congress), California",50000US0650,06,50
728256,"Congressional District 51 (114th Congress), California",50000US0651,06,51
731075,"Congressional District 52 (114th Congress), California",50000US0652,06,52
